Wordnum_1,Analyzed_1,Word_1,Onset_1,Offset_1,Cloze_1,,,Wordnum_p2,Wordnum_2,Analyzed_2,Word_2,Onset_2,Offset_2,Cloze_2
1,0,My,0.2,0.47,0.00,,,1,2257,0,The,0.72,0.84,0.07
2,0,sister,0.47,0.95,0.00,,,2,2258,0,next,0.84,1.07,0.23
3,0,is,0.99,1.17,0.23,,,3,2259,0,"morning,",1.07,1.47,0.03
4,0,the,1.17,1.28,0.03,,,4,2260,0,Mr,1.77,2.06,0.03
5,0,world's,1.28,1.69,0.00,,,5,2261,0,Hornswoggle,2.06,2.57,0.20
6,0,greatest,1.74,2.35,0.27,,,6,2262,0,came,2.58,2.89,0.37
7,0,detective!,2.35,3.04,0.03,,,7,2263,0,into,2.9,3.13,0.50
8,0,She,3.72,3.93,0.83,,,8,2264,0,the,3.13,3.23,0.93
9,0,has,3.93,4.06,0.07,,,9,2265,0,classroom,3.23,3.78,0.17
10,0,solved,4.06,4.47,0.07,,,10,2266,0,just,4.07,4.33,0.03
11,0,many,4.48,4.82,0.60,,,11,2267,0,as,4.33,4.47,0.30
12,0,mysteries,4.82,5.42,0.40,,,12,2268,0,they,4.47,4.58,0.07
13,0,like,5.59,5.77,0.00,,,13,2269,0,were,4.58,4.67,0.70
14,0,the,5.77,5.9,0.57,,,14,2270,0,moving,4.67,4.96,0.03
15,0,case,5.9,6.23,0.17,,,15,2271,0,over,4.97,5.21,0.03
16,0,of,6.23,6.38,0.83,,,16,2272,0,to,5.21,5.36,0.67
17,0,the,6.38,6.46,0.97,,,17,2273,0,the,5.36,5.48,0.77
18,0,bubble,6.46,6.74,0.00,,,18,2274,0,learning,5.48,5.83,0.03
19,0,gum,6.74,6.96,0.37,,,19,2275,0,rug,5.83,6.08,0.03
20,0,bandit,6.97,7.5,0.13,,,20,2276,0,to,6.15,6.28,0.27
21,0,and,7.619,7.71,0.37,,,21,2277,0,play,6.28,6.45,0.13
22,0,the,7.71,7.81,0.83,,,22,2278,0,the,6.45,6.55,0.03
23,0,nap,7.81,8.11,0.00,,,23,2279,0,Favorite,6.55,6.93,0.03
24,0,time,8.11,8.46,0.37,,,24,2280,0,Things,6.93,7.23,0.03
25,0,nuisance.,8.46,8.98,0.00,,,25,2281,1,game.,7.23,7.49,0.77
26,0,But,9.679999,9.909999,0.00,,,26,2282,0,May,8.96,9.12,0.00
27,0,this,9.91,10.16,0.10,,,27,2283,0,I,9.12,9.23,0.87
28,0,"case,",10.16,10.59,0.13,,,28,2284,0,speak,9.23,9.5,0.23
29,0,the,10.95,11.08,0.10,,,29,2285,0,with,9.5,9.66,0.40
30,0,case,11.08,11.35,0.43,,,30,2286,0,Tully,9.66,10.01,0.60
31,0,of,11.349999,11.509999,0.73,,,31,2287,0,for,10.01,10.22,0.20
32,0,the,11.509999,11.589999,1.00,,,32,2288,0,a,10.219999,10.259999,0.93
33,0,turtle,11.59,11.97,0.47,,,33,2289,0,moment?,10.26,10.67,0.00
34,0,snatcher,11.969999,12.489999,0.23,,,34,2290,0,Mr,11.32,11.63,0.30
35,0,is,12.58,12.74,0.63,,,35,2291,0,Hornswoggle,11.63,11.85,0.53
36,0,her,12.74,12.88,0.03,,,36,2292,0,asked,12.219999,12.559999,0.70
37,0,greatest,12.88,13.38,0.07,,,37,2293,0,Miss,12.559999,12.759999,0.03
38,0,accomplishment.,13.38,14.09,0.00,,,38,2294,0,Flores.,12.759999,13.299999,NA
39,0,Let's,15.339999,15.539999,0.00,,,39,2295,0,Tully,13.969999,14.219999,0.07
40,0,start,15.54,15.82,0.43,,,40,2296,0,quickly,14.219999,14.559999,0.03
41,0,from,15.82,15.95,0.00,,,41,2297,0,whispered,14.559999,14.989999,0.03
42,0,the,15.95,16.03,1.00,,,42,2298,0,the,14.99,15.08,0.03
43,1,beginning:,16.029999,16.579999,0.90,,,43,2299,0,situation,15.08,15.73,0.03
44,0,On,17.41,17.54,0.10,,,44,2300,0,in,15.74,15.9,0.03
45,0,the,17.539999,17.659999,0.50,,,45,2301,0,Miss,15.9,16.05,0.03
46,0,third,17.66,17.97,0.00,,,46,2302,0,Flores',16.049999,16.269999,0.80
47,0,day,17.98,18.39,0.70,,,47,2303,0,"ear,",16.27,16.29,0.87
48,0,of,18.43,18.57,0.90,,,48,2304,0,and,17.359999,17.539999,0.57
49,0,the,18.57,18.68,0.33,,,49,2305,0,she,17.539999,17.669999,0.33
50,0,third,18.68,19.02,0.00,,,50,2306,0,gave,17.67,17.9,0.03
51,0,month,19.02,19.33,0.57,,,51,2307,0,the,17.9,17.99,0.13
52,0,of,19.38,19.55,0.60,,,52,2308,0,Gumshoe,18.309999,18.319999,0.03
53,0,the,19.55,19.64,0.87,,,53,2309,0,gang,18.32,18.59,0.87
54,0,third,19.64,19.97,0.47,,,54,2310,0,a,18.6,18.67,0.57
55,0,"grade,",19.97,20.39,0.03,,,55,2311,0,hall,18.68,18.89,0.07
56,0,my,20.83,20.99,0.03,,,56,2312,1,pass.,18.89,19.28,0.97
57,0,sister,20.99,21.31,0.43,,,57,2313,0,Make,19.71,19.99,0.00
58,0,was,21.31,21.48,0.30,,,58,2314,0,it,19.99,20.1,0.17
59,0,handing,21.49,21.84,0.00,,,59,2315,0,quick!,20.1,20.53,0.60
60,0,out,21.84,21.99,0.43,,,60,2316,0,They,21.23,21.37,0.03
61,0,birthday,21.99,22.44,0.00,,,61,2317,0,stepped,21.37,21.67,0.00
62,0,invitations,22.44,23.16,0.20,,,62,2318,0,out,21.67,21.8,0.53
63,0,to,23.28,23.41,0.73,,,63,2319,0,into,21.82,22.03,0.50
64,0,all,23.42,23.71,0.00,,,64,2320,0,the,22.03,22.14,0.97
65,0,the,23.72,23.84,0.17,,,65,2321,0,hall,22.14,22.45,0.60
66,0,kids,23.84,24.17,0.23,,,66,2322,0,with,22.46,22.64,0.00
67,0,in,24.17,24.3,0.67,,,67,2323,0,Mr,22.64,22.93,0.67
68,0,room,24.3,24.51,0.00,,,68,2324,0,Hornswoggle.,22.93,23.21,0.77
69,0,113,25.12,25.33,0.00,,,69,2325,0,Tully,24.67,24.78,0.10
70,0,Her,26.28,26.45,0.00,,,70,2326,0,told,24.78,25,0.13
