Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
My,My,my,0.2,0.47,,The,The,the,0.72,0.84
sister,sister,sister,0.47,0.95,,next,next,next,0.84,1.07
is,is,is,0.99,1.17,,"morning,",morning,morning,1.07,1.47
the,the,the,1.17,1.28,,Mr,Mr,mr,1.77,2.06
world's,world's,world's,1.28,1.69,,Hornswoggle,Hornswoggle,<unk>,2.06,2.57
greatest,greatest,greatest,1.74,2.35,,came,came,came,2.58,2.89
detective!,detective,detective,2.35,3.04,,into,into,into,2.9,3.13
She,She,she,3.72,3.93,,the,the,the,3.13,3.23
has,has,has,3.93,4.06,,classroom,classroom,classroom,3.23,3.78
solved,solved,solved,4.06,4.47,,just,just,just,4.07,4.33
many,many,many,4.48,4.82,,as,as,as,4.33,4.47
mysteries,mysteries,mysteries,4.82,5.42,,they,they,they,4.47,4.58
like,like,like,5.59,5.77,,were,were,were,4.58,4.67
the,the,the,5.77,5.9,,moving,moving,moving,4.67,4.96
case,case,case,5.9,6.23,,over,over,over,4.97,5.21
of,of,of,6.23,6.38,,to,to,to,5.21,5.36
the,the,the,6.38,6.46,,the,the,the,5.36,5.48
bubble,bubble,bubble,6.46,6.74,,learning,learning,learning,5.48,5.83
gum,gum,gum,6.74,6.96,,rug,rug,rug,5.83,6.08
bandit,bandit,bandit,6.97,7.5,,to,to,to,6.15,6.28
and,and,,7.619,7.71,,play,play,play,6.28,6.45
the,the,the,7.71,7.81,,the,the,the,6.45,6.55
nap,nap,nap,7.81,8.11,,Favorite,Favorite,favorite,6.55,6.93
time,time,time,8.11,8.46,,Things,Things,things,6.93,7.23
nuisance.,nuisance,nuisance,8.46,8.98,,game.,game,game,7.23,7.49
But,But,but,9.679999,9.909999,,May,May,may,8.96,9.12
this,this,this,9.91,10.16,,I,I,i,9.12,9.23
"case,",case,case,10.16,10.59,,speak,speak,speak,9.23,9.5
the,the,the,10.95,11.08,,with,with,with,9.5,9.66
case,case,case,11.08,11.35,,Tully,Tully,tully,9.66,10.01
of,of,of,11.349999,11.509999,,for,for,for,10.01,10.22
the,the,the,11.509999,11.589999,,a,a,a,10.219999,10.259999
turtle,turtle,turtle,11.59,11.97,,moment?,moment,moment,10.26,10.67
snatcher,snatcher,<unk>,11.969999,12.489999,,Mr,Mr,mr,11.32,11.63
is,is,is,12.58,12.74,,Hornswoggle,Hornswoggle,<unk>,11.63,11.85
her,her,her,12.74,12.88,,asked,asked,asked,12.219999,12.559999
greatest,greatest,greatest,12.88,13.38,,Miss,Miss,miss,12.559999,12.759999
accomplishment.,accomplishment,accomplishment,13.38,14.09,,Flores.,Flores,flores,12.759999,13.299999
Let's,Let's,let's,15.339999,15.539999,,Tully,Tully,tully,13.969999,14.219999
start,start,start,15.54,15.82,,quickly,quickly,quickly,14.219999,14.559999
from,from,from,15.82,15.95,,whispered,whispered,whispered,14.559999,14.989999
the,the,the,15.95,16.03,,the,the,the,14.99,15.08
beginning:,beginning,beginning,16.029999,16.579999,,situation,situation,situation,15.08,15.73
On,On,on,17.41,17.54,,in,in,in,15.74,15.9
the,the,the,17.539999,17.659999,,Miss,Miss,miss,15.9,16.05
third,third,third,17.66,17.97,,Flores',Flores,flores,16.049999,16.269999
day,day,day,17.98,18.39,,"ear,",ear,ear,16.27,16.29
of,of,of,18.43,18.57,,and,and,and,17.359999,17.539999
the,the,the,18.57,18.68,,she,she,she,17.539999,17.669999
third,third,third,18.68,19.02,,gave,gave,gave,17.67,17.9
month,month,month,19.02,19.33,,the,the,the,17.9,17.99
of,of,of,19.38,19.55,,Gumshoe,Gumshoe,<unk>,18.309999,18.319999
the,the,the,19.55,19.64,,gang,gang,gang,18.32,18.59
third,third,third,19.64,19.97,,a,a,a,18.6,18.67
"grade,",grade,grade,19.97,20.39,,hall,hall,hall,18.68,18.89
my,my,my,20.83,20.99,,pass.,pass,pass,18.89,19.28
sister,sister,sister,20.99,21.31,,Make,Make,make,19.71,19.99
was,was,was,21.31,21.48,,it,it,it,19.99,20.1
handing,handing,handing,21.49,21.84,,quick!,quick,quick,20.1,20.53
out,out,out,21.84,21.99,,They,They,they,21.23,21.37
birthday,birthday,birthday,21.99,22.44,,stepped,stepped,stepped,21.37,21.67
invitations,invitations,invitations,22.44,23.16,,out,out,out,21.67,21.8
to,to,to,23.28,23.41,,into,into,into,21.82,22.03
all,all,all,23.42,23.71,,the,the,the,22.03,22.14
the,the,the,23.72,23.84,,hall,hall,hall,22.14,22.45
kids,kids,kids,23.84,24.17,,with,with,with,22.46,22.64
in,in,in,24.17,24.3,,Mr,Mr,mr,22.64,22.93
room,room,room,24.3,24.51,,Hornswoggle.,Hornswoggle,<unk>,22.93,23.21
113,113,<unk>,25.12,25.33,,Tully,Tully,tully,24.67,24.78
Her,Her,her,26.28,26.45,,told,told,told,24.78,25
name,name,name,26.45,26.78,,him,him,him,25,25.12
is,is,is,26.82,26.98,,all,all,all,25.21,25.48
Tulena,Tulena,<unk>,27.2,27.55,,about,about,about,25.48,25.72
Clarissa,Clarissa,clarissa,27.599999,28.159999,,yesterday.,yesterday,yesterday,25.72,26.31
Warren,Warren,warren,28.16,28.57,,"Oh,",Oh,oh,27.01,27.31
the,the,the,28.57,28.7,,"dear,",dear,dear,27.32,27.9
"first,",first,first,28.7,29.21,,he,he,he,28.19,28.39
but,but,but,29.679999,29.829999,,said.,said,said,28.389999,28.699999
our,our,our,29.83,29.97,,This,This,this,29.059999,29.309999
Mom,Mom,mom,29.969999,30.389999,,is,is,is,29.33,29.61
and,and,and,30.42,30.62,,very,very,very,29.62,30.14
everybody,everybody,everybody,30.69,31.23,,distressing.,distressing,distressing,30.139999,30.839999
else,else,else,31.23,31.55,,We're,We're,we're,31.639999,31.779999
call,call,call,31.549999,31.799999,,going,going,going,31.78,31.97
her,her,her,31.799999,31.969999,,to,to,to,31.969999,32.039999
Tully.,Tully,tully,32.179999,32.359999,,get,get,get,32.04,32.19
Our,Our,our,33.509999,33.659999,,Coco,Coco,coco,32.19,32.49
mom,mom,mom,33.66,33.92,,"back,",back,back,32.49,32.99
says,says,says,33.92,34.19,,Tully,Tully,tully,33.099999,33.399999
she,she,she,34.190001,34.340001,,said.,said,said,33.4,33.73
is,is,is,34.34,34.46,,We,We,we,34,34.11
a,a,a,34.459999,34.579999,,are,are,are,34.109999,34.169999
"fashionista,",fashionista,<unk>,34.58,35.56,,on,on,on,34.17,34.43
which,which,which,35.99,36.21,,the,the,the,34.43,34.53
means,means,means,36.209999,36.489999,,"case,",case,case,34.529999,34.829999
that,that,that,36.49,36.63,,"sir,",sir,sir,34.83,35.21
